course_name,course_organization,course_price,course_status
【博为峰】软件测试国际权威认证ISTQB2018版考纲培训VIP体验,博为峰网校在线教育,拼团,共4节
【毕老师·消防全攻略】2020消防工程师入门课,毕老师·消防全攻略,737人购买,共5节
Rhino 7犀牛 / KeyShot 9 产品设计建模渲染进阶班【卓尔谟教育】,卓尔谟教育,109人购买,随到随学
json-Python自动化测试-项目实战-/测试开发/接口/性能【学神IT】,学神IT教育,31人购买,进度：1/25节
工业产品设计手绘基础马克笔表现实战班【卓尔谟教育】,卓尔谟教育,320人购买,随到随学
20省考冲刺+申论精讲,抵岸教育,2人购买,课程4
VIP 2020淘宝实操爆款课程 一年制【优梯教育】,优梯教育,5273人购买,开设2个班级
postman接口测试实战从入门到精通软件精品课【柠檬班】,柠檬班,166人购买,共10节
ProE /Creo工业产品设计结构辅助设计入门到精通课,卓尔谟教育,55人购买,共32节
【北京峰源】2019注册结构基础+专业考试精选课程,峰源教育,5919人购买,共47节
java自动化测试入门,柠檬班,3506人购买,共9节
Spring Cloud微服务实战,享学课堂,929人购买,共25节
Python全栈软件自动化测试VIP课程【柠檬班】,柠檬班,308人购买,共28节
2019年GRE刷题营,真佑教育,7人购买,课程2
山本教育素云VIP第10期恋爱技巧-脱单特训班,山本教育,4204人购买,共7节
AE+C4D影视后期特效视频 广告动画栏目包装设计师 平面电商美工班,木客教育,拼团,共34节
20年上半年省考申论精讲课,抵岸教育,571人购买,随到随学
【NEXT学院】人人都会微信小程序,腾讯课堂NEXT学院,限时,共6节
《高级女装制版全套深造技术》第一期直播回放视频【艺服教育】,艺服教育,088人购买,随到随学
Linux云计算架构班【包含集群+Jenkins+K8S+OpenStack+Python】,新盟教育,71人购买,2020-4-1开讲
高薪就业+云架构师课,学神IT教育,50人购买,课程2
java全栈自动化第7-17期（web自动化＋接口自动化+app自动化）,柠檬班,469人购买,开设9个班级
20年省考-行测精讲课,抵岸教育,374人购买,随到随学
全面详解并实操SoapUI接口测试实战课程【柠檬班】,柠檬班,564人购买,共13节
Amazon亚马逊跨境电商VIP-把产品卖到全球,魔贝课凡,3705人购买,开设4个班级
【淘宝系统化运营】90天成长计划,亚空学堂,5人购买,共11节
2020上半年自考英语二直通车VIP课程(00015)【直播+录播】晨夕,晨夕学院,364人购买,共51节
【松勤】软件测试0基础到项目实战系统学习全栈班,松勤软件测试,5267人购买,共149节
高级男装结构与版型技术工程课程【艺服在线教学】,艺服教育,69人购买,随到随学
2019室内设计全案班,若水学院,870人购买,课程2
色彩美学班VIP课程包,欧艾教育,805人购买,课程2
VIP 2020淘宝运营爆款课程 【优梯教育】,优梯教育,4448人购买,进度：5/5节
软件测试从小白到高手全程班【柠檬班】第67期,柠檬班,813人购买,随到随学
领先见识•2019高考语文一轮复习（预备课）,杨洋,328人购买,共6节
《高级女装制版全套深造技术》第二期VIP一班级直播回放视频,艺服教育,509人购买,共72节
整体形象设计师（线下+线上）,完颜形象教育,470人购买,共31节
2020年浙江省公务员考试—笔试系统班,思政教育,326人购买,进度：22/36节
【NEXT学位 x IMWeb】Web前端从小白到大师进阶课程,腾讯课堂NEXT学院,539人购买,共117节
2022新高一基础提高班【数学超人】+【微信】supermath987,宋超,9717人购买,共10节
淘宝VIP爆款运营实操系列课程【优梯教育】,优梯教育,3万人购买,进度：5/5节
自考线代+概率论组合（2020年4月）,刘老师“慢”数学课堂,5人购买,课程3
2020成人学位英语VIP课程 晨夕-自考、网教、成教,晨夕学院,809人购买,共28节
高薪就业+云架构师课,学神 IT 教育,52人购买,课程2
计算机二级C语言精品课程[含公共基础][送指导],陈浩老师网络课堂,53人购买,课程2
原画人场景设计9期【东彪】,原画人在线学院,390人购买,2020-3-20开讲
2020年二级建造师二建施工管理超值大礼包,教授伴学,44人购买,课程3
商业插画-基础班,应图马教育,3人购买,课程2
2020年初级会计师职称【实务经济法2科全套】精讲班+讲义题库答疑,瑞云学堂,3316人购买,共130节
2020年3月全国计算机二级Office通关vip教程,蒋老师过级,4821人购买,共72节
商业人像精修高级班  免费重修（领取买1赠2福利请咨询客服下单）,蜂鸟摄影微课堂,053人购买,随到随学
井方格实用硬笔行书速成法,硬笔书法培训,32人购买,共11节
【VIP-2年】付款链接 淘宝店铺电商运营 新手入门【齐论教育】,齐论教育,453人购买,随到随学
原画人日韩角色设计1期【吸烟】,原画人在线学院,37人购买,进度：2/6节
学神Linux高薪运维云计算全程班/全程直播/终身学习/一对一辅导,学神IT教育,888人购买,进度：32/62节
武百分2020执业/助理医师资格考试泌尿系统考点精讲,武百分教育,5103人购买,共11节
淘宝运营技巧实操讲解 直通车拉升自然访客轻松打造爆款【齐论】,齐论教育,53万人购买,共51节
solidworks非标机械自动化设计免费精品课,云艺帆教育,拼团,共12节
无货源电商VIP课程,大娃火焱社,9人购买,进度：14/14节
线稿课程17期【墨非凡画坊】,邓梦菲,509人购买,共13节
【VIP-2年】付款链接 打造爆款全系拼多多 运营实操课程【齐论】,齐论拼多多学院,513人购买,随到随学
